id,date,parsed_on,updated_at
79,2020-04-14,2020-04-14 12:00:02.3670000 +00:00,2020-04-14 12:00:02.3670000 +00:00
80,2020-04-15,2020-04-15 13:00:03.3780000 +00:00,2020-04-15 13:00:03.3780000 +00:00
81,2020-04-16,2020-04-16 12:00:05.9230000 +00:00,2020-04-16 12:00:05.9230000 +00:00
82,2020-04-17,2020-04-17 12:00:02.4550000 +00:00,2020-04-17 12:00:02.4550000 +00:00
83,2020-04-20,2020-04-20 12:00:06.0410000 +00:00,2020-04-20 12:00:06.0410000 +00:00
84,2020-04-19,2020-04-20 12:00:06.0410000 +00:00,2020-04-20 12:00:06.0410000 +00:00
85,2020-04-18,2020-04-20 12:00:06.0420000 +00:00,2020-04-20 12:00:06.0420000 +00:00
86,2020-04-21,2020-04-21 13:00:05.9750000 +00:00,2020-04-21 13:00:05.9750000 +00:00
87,2020-04-22,2020-04-22 13:00:02.4970000 +00:00,2020-04-22 13:00:02.4970000 +00:00
88,2020-04-23,2020-04-23 13:00:02.7010000 +00:00,2020-04-23 13:00:02.7010000 +00:00
89,2020-05-19,2020-05-19 19:13:33.7380000 +00:00,2020-05-19 19:13:33.7380000 +00:00
90,2020-05-18,2020-05-19 19:13:33.7390000 +00:00,2020-05-19 19:13:33.7390000 +00:00
91,2020-05-17,2020-05-19 19:13:33.7400000 +00:00,2020-05-19 19:13:33.7400000 +00:00
92,2020-05-16,2020-05-19 19:13:33.7400000 +00:00,2020-05-19 19:13:33.7400000 +00:00
93,2020-05-15,2020-05-19 19:13:33.7410000 +00:00,2020-05-19 19:13:33.7410000 +00:00
94,2020-05-14,2020-05-19 19:13:33.7410000 +00:00,2020-05-19 19:13:33.7410000 +00:00
95,2020-05-13,2020-05-19 19:13:33.7410000 +00:00,2020-05-19 19:13:33.7410000 +00:00
96,2020-05-12,2020-05-19 19:13:33.7420000 +00:00,2020-05-19 19:13:33.7420000 +00:00
97,2020-05-11,2020-05-19 19:13:33.7420000 +00:00,2020-05-19 19:13:33.7420000 +00:00
98,2020-05-10,2020-05-19 19:13:33.7430000 +00:00,2020-05-19 19:13:33.7430000 +00:00
99,2020-05-09,2020-05-19 19:13:33.7430000 +00:00,2020-05-19 19:13:33.7430000 +00:00
100,2020-05-08,2020-05-19 19:13:33.7430000 +00:00,2020-05-19 19:13:33.7430000 +00:00
101,2020-05-07,2020-05-19 19:13:33.7430000 +00:00,2020-05-19 19:13:33.7430000 +00:00
102,2020-05-06,2020-05-19 19:13:33.7440000 +00:00,2020-05-19 19:13:33.7440000 +00:00
103,2020-05-05,2020-05-19 19:13:33.7440000 +00:00,2020-05-19 19:13:33.7440000 +00:00
104,2020-05-04,2020-05-19 19:13:33.7440000 +00:00,2020-05-19 19:13:33.7440000 +00:00
105,2020-05-03,2020-05-19 19:13:33.7450000 +00:00,2020-05-19 19:13:33.7450000 +00:00
106,2020-05-02,2020-05-19 19:13:33.7450000 +00:00,2020-05-19 19:13:33.7450000 +00:00
107,2020-05-01,2020-05-19 19:13:33.7450000 +00:00,2020-05-19 19:13:33.7450000 +00:00
108,2020-04-30,2020-05-19 19:13:33.7450000 +00:00,2020-05-19 19:13:33.7450000 +00:00
109,2020-04-29,2020-05-19 19:13:33.7450000 +00:00,2020-05-19 19:13:33.7450000 +00:00
110,2020-04-28,2020-05-19 19:13:33.7460000 +00:00,2020-05-19 19:13:33.7460000 +00:00
111,2020-04-27,2020-05-19 19:13:33.7460000 +00:00,2020-05-19 19:13:33.7460000 +00:00
112,2020-04-26,2020-05-19 19:13:33.7460000 +00:00,2020-05-19 19:13:33.7460000 +00:00
113,2020-04-25,2020-05-19 19:13:33.7460000 +00:00,2020-05-19 19:13:33.7460000 +00:00
114,2020-04-24,2020-05-19 19:13:33.7470000 +00:00,2020-05-19 19:13:33.7470000 +00:00
115,2020-05-20,2020-05-20 12:00:02.8080000 +00:00,2020-05-20 12:00:02.8080000 +00:00
116,2020-05-21,2020-05-21 13:00:02.6430000 +00:00,2020-05-21 13:00:02.6430000 +00:00
117,2020-05-22,2020-05-22 12:00:03.1250000 +00:00,2020-05-22 12:00:03.1250000 +00:00
118,2020-05-26,2020-05-26 13:00:06.4560000 +00:00,2020-05-26 13:00:06.4560000 +00:00
119,2020-05-25,2020-05-26 13:00:06.4560000 +00:00,2020-05-26 13:00:06.4560000 +00:00
120,2020-05-24,2020-05-26 13:00:06.4570000 +00:00,2020-05-26 13:00:06.4570000 +00:00
121,2020-05-23,2020-05-26 13:00:06.4570000 +00:00,2020-05-26 13:00:06.4570000 +00:00
122,2020-05-27,2020-05-27 13:00:02.7910000 +00:00,2020-05-27 13:00:02.7910000 +00:00
123,2020-05-28,2020-05-28 13:00:06.3890000 +00:00,2020-05-28 13:00:06.3890000 +00:00
124,2020-05-29,2020-05-29 13:00:02.9460000 +00:00,2020-05-29 13:00:02.9460000 +00:00
125,2020-06-01,2020-06-01 13:00:05.3140000 +00:00,2020-06-01 13:00:05.3140000 +00:00
126,2020-05-31,2020-06-01 13:00:05.3160000 +00:00,2020-06-01 13:00:05.3160000 +00:00
127,2020-05-30,2020-06-01 13:00:05.3160000 +00:00,2020-06-01 13:00:05.3160000 +00:00
128,2020-06-02,2020-06-02 13:00:04.3160000 +00:00,2020-06-02 13:00:04.3160000 +00:00
129,2020-06-03,2020-06-03 13:00:02.8290000 +00:00,2020-06-03 13:00:02.8290000 +00:00
130,2020-06-04,2020-06-04 14:00:03.1110000 +00:00,2020-06-04 14:00:03.1110000 +00:00
131,2020-06-05,2020-06-05 13:00:02.6570000 +00:00,2020-06-05 13:00:02.6570000 +00:00
132,2020-06-08,2020-06-08 14:00:05.1540000 +00:00,2020-06-08 14:00:05.1540000 +00:00
133,2020-06-07,2020-06-08 14:00:05.1550000 +00:00,2020-06-08 14:00:05.1550000 +00:00
134,2020-06-06,2020-06-08 14:00:05.1560000 +00:00,2020-06-08 14:00:05.1560000 +00:00
135,2020-06-09,2020-06-09 12:00:07.5800000 +00:00,2020-06-09 12:00:07.5800000 +00:00
136,2020-06-10,2020-06-10 14:00:03.0060000 +00:00,2020-06-10 14:00:03.0060000 +00:00
137,2020-06-11,2020-06-11 13:00:03.2840000 +00:00,2020-06-11 13:00:03.2840000 +00:00
138,2020-06-12,2020-06-12 14:00:02.4000000 +00:00,2020-06-12 14:00:02.4000000 +00:00
139,2020-06-15,2020-06-15 13:00:12.4020000 +00:00,2020-06-15 13:00:12.4020000 +00:00
140,2020-06-14,2020-06-15 13:00:12.4050000 +00:00,2020-06-15 13:00:12.4050000 +00:00
141,2020-06-13,2020-06-15 13:00:12.4050000 +00:00,2020-06-15 13:00:12.4050000 +00:00
142,2020-06-16,2020-06-16 13:00:07.3160000 +00:00,2020-06-16 13:00:07.3160000 +00:00
143,2020-06-17,2020-06-17 12:00:02.5580000 +00:00,2020-06-17 12:00:02.5580000 +00:00
144,2020-06-18,2020-06-18 12:00:06.7920000 +00:00,2020-06-18 12:00:06.7920000 +00:00
145,2020-06-19,2020-06-19 13:00:02.1370000 +00:00,2020-06-19 13:00:02.1370000 +00:00
146,2020-06-22,2020-06-22 13:00:05.8190000 +00:00,2020-06-22 13:00:05.8190000 +00:00
147,2020-06-21,2020-06-22 13:00:05.8200000 +00:00,2020-06-22 13:00:05.8200000 +00:00
148,2020-06-20,2020-06-22 13:00:05.8200000 +00:00,2020-06-22 13:00:05.8200000 +00:00
149,2020-06-23,2020-06-23 13:00:07.4880000 +00:00,2020-06-23 13:00:07.4880000 +00:00
150,2020-06-24,2020-06-24 13:00:02.3770000 +00:00,2020-06-24 13:00:02.3770000 +00:00
151,2020-06-25,2020-06-25 13:00:02.2730000 +00:00,2020-06-25 13:00:02.2730000 +00:00
152,2020-06-26,2020-06-26 13:00:02.3270000 +00:00,2020-06-26 13:00:02.3270000 +00:00
153,2020-06-29,2020-06-29 14:00:10.2260000 +00:00,2020-06-29 14:00:10.2260000 +00:00
154,2020-06-28,2020-06-29 14:00:10.2270000 +00:00,2020-06-29 14:00:10.2270000 +00:00
155,2020-06-27,2020-06-29 14:00:10.2280000 +00:00,2020-06-29 14:00:10.2280000 +00:00
156,2020-06-30,2020-06-30 13:00:03.1020000 +00:00,2020-06-30 13:00:03.1020000 +00:00
157,2020-07-01,2020-07-01 13:00:02.4960000 +00:00,2020-07-01 13:00:02.4960000 +00:00
158,2020-07-02,2020-07-02 13:00:01.9880000 +00:00,2020-07-02 13:00:01.9880000 +00:00
159,2020-07-06,2020-07-06 13:00:06.3390000 +00:00,2020-07-06 13:00:06.3390000 +00:00
160,2020-07-05,2020-07-06 13:00:06.3400000 +00:00,2020-07-06 13:00:06.3400000 +00:00
161,2020-07-04,2020-07-06 13:00:06.3400000 +00:00,2020-07-06 13:00:06.3400000 +00:00
162,2020-07-03,2020-07-06 13:00:06.3410000 +00:00,2020-07-06 13:00:06.3410000 +00:00
163,2020-07-07,2020-07-07 13:00:02.5400000 +00:00,2020-07-07 13:00:02.5400000 +00:00
164,2020-07-08,2020-07-08 13:00:02.3540000 +00:00,2020-07-08 13:00:02.3540000 +00:00
165,2020-07-09,2020-07-09 13:00:02.3060000 +00:00,2020-07-09 13:00:02.3060000 +00:00
166,2020-07-10,2020-07-10 13:00:02.4120000 +00:00,2020-07-10 13:00:02.4120000 +00:00
167,2020-07-13,2020-07-13 13:00:05.9110000 +00:00,2020-07-13 13:00:05.9110000 +00:00
168,2020-07-12,2020-07-13 13:00:05.9130000 +00:00,2020-07-13 13:00:05.9130000 +00:00
169,2020-07-11,2020-07-13 13:00:05.9130000 +00:00,2020-07-13 13:00:05.9130000 +00:00
170,2020-07-14,2020-07-14 13:00:02.7730000 +00:00,2020-07-14 13:00:02.7730000 +00:00
171,2020-07-15,2020-07-15 13:00:22.5590000 +00:00,2020-07-15 13:00:22.5590000 +00:00
172,2020-07-16,2020-07-16 13:00:06.2190000 +00:00,2020-07-16 13:00:06.2190000 +00:00
173,2020-07-17,2020-07-17 13:00:03.1920000 +00:00,2020-07-17 13:00:03.1920000 +00:00
174,2020-07-28,2020-07-28 15:48:52.4490000 +00:00,2020-07-28 15:48:52.4490000 +00:00
175,2020-07-27,2020-07-28 15:48:52.4500000 +00:00,2020-07-28 15:48:52.4500000 +00:00
176,2020-07-26,2020-07-28 15:48:52.4500000 +00:00,2020-07-28 15:48:52.4500000 +00:00
177,2020-07-25,2020-07-28 15:48:52.4510000 +00:00,2020-07-28 15:48:52.4510000 +00:00
178,2020-07-24,2020-07-28 15:48:52.4510000 +00:00,2020-07-28 15:48:52.4510000 +00:00
179,2020-07-23,2020-07-28 15:48:52.4510000 +00:00,2020-07-28 15:48:52.4510000 +00:00
180,2020-07-22,2020-07-28 15:48:52.4520000 +00:00,2020-07-28 15:48:52.4520000 +00:00
181,2020-07-21,2020-07-28 15:48:52.4520000 +00:00,2020-07-28 15:48:52.4520000 +00:00
182,2020-07-20,2020-07-28 15:48:52.4520000 +00:00,2020-07-28 15:48:52.4520000 +00:00
183,2020-07-19,2020-07-28 15:48:52.4530000 +00:00,2020-07-28 15:48:52.4530000 +00:00
184,2020-07-18,2020-07-28 15:48:52.4530000 +00:00,2020-07-28 15:48:52.4530000 +00:00
185,2020-07-29,2020-07-29 13:00:02.6140000 +00:00,2020-07-29 13:00:02.6140000 +00:00
186,2020-07-30,2020-07-30 13:00:03.6290000 +00:00,2020-07-30 13:00:03.6290000 +00:00
187,2020-07-31,2020-07-31 13:00:02.9730000 +00:00,2020-07-31 13:00:02.9730000 +00:00
188,2020-08-03,2020-08-03 13:00:06.3950000 +00:00,2020-08-03 13:00:06.3950000 +00:00
